Rxn	Flux
RIP1	13.54	16.09	18.26	17.86	17.15	19.97	20.25	19.25
COX1	27.09	32.19	36.51	35.71	34.29	39.94	40.50	38.49
ATP1	14.18	16.85	19.06	18.70	17.86	20.83	20.95	19.88
ShuttleX	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransport	15.87	18.84	21.43	20.90	20.18	23.57	23.92	22.71
OAC1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTrans	2.56	3.04	3.54	3.36	3.41	3.80	4.35	4.25
CAT2	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
CO2TRANS	5.66	6.70	7.90	7.38	7.71	8.86	9.85	9.44
ShuttleXRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
ATPTransportRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
OAC1Rev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PyrTransRev	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
CAT2Rev	0.15	0.18	0.21	0.21	0.19	-0.00	0.25	0.25
HDECOUP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	0.00	0.00
VGROPROTALT	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROPROT	0.74	0.89	1.00	1.00	0.93	1.11	1.19	1.22
VGRORNA	0.07	0.09	0.10	0.10	0.09	0.11	0.12	0.12
VGRODNA	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01
VGROLIPID	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROGLYCOGEN	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROTREHALOSE	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
VGROMANNAN	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
VGROGLUCAN	0.50	0.59	0.67	0.66	0.62	0.74	0.79	0.81
VGROMAINTAIN	11.04	13.25	14.85	14.81	13.75	16.50	17.60	18.15
GROWTH	0.20	0.24	0.27	0.27	0.25	0.30	0.32	0.33
