Rxn	Flux
acOUT	1.03	1.26	0.84	1.49	0.12	0.00	0.40	0.15
acIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
biomassOUT	0.20	0.24	0.27	0.27	0.25	0.30	0.32	0.33
co2OUT	6.90	8.20	9.30	9.10	9.00	12.20	15.30	16.90
ethOUT	0.00	0.00	0.00	0.00	0.27	2.02	3.89	6.12
glyOUT	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	2.16	1.90
glcIN	2.78	3.33	3.56	3.74	3.23	4.63	7.11	7.97
o2IN	6.82	8.10	9.19	8.99	8.63	10.06	10.20	9.70
ethIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PIIn	0.08	0.10	0.11	0.11	0.10	0.13	0.13	0.14
PIOut	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
galIN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gluActiveIn	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL1	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
GAL10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GAL7b	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PGM1_2	0.00	0.00	0.00	0.00	-0.00	0.00	-0.00	-0.00
HXK	2.78	3.33	3.56	3.74	3.23	4.63	7.11	7.97
PGI	2.17	2.61	2.46	2.97	1.82	2.94	5.31	6.12
PFK	2.15	2.58	2.62	2.91	2.23	3.43	5.83	6.65
FBP	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FBA	2.15	2.58	2.62	2.91	2.23	3.43	5.83	6.65
TPI	2.14	2.57	2.61	2.90	2.22	3.42	3.66	4.74
GLD	4.20	5.03	5.20	5.67	4.55	6.97	9.62	11.52
PGK	4.13	4.95	5.11	5.58	4.47	6.87	9.51	11.41
GPM	4.13	4.95	5.11	5.58	4.47	6.87	9.51	11.41
ENO	4.13	4.95	5.11	5.58	4.47	6.87	9.51	11.41
CDC	3.94	4.72	4.85	5.32	4.23	6.58	9.20	11.09
ZWF	0.10	0.11	0.40	0.08	0.76	0.92	0.98	1.01
PGL	0.10	0.11	0.40	0.08	0.76	0.92	0.98	1.01
GND	0.08	0.08	0.38	0.05	0.74	0.89	0.95	0.98
RPI	0.10	0.11	0.22	0.11	0.34	0.40	0.43	0.44
RPE	-0.02	-0.03	0.16	-0.06	0.41	0.49	0.52	0.54
TKLa	0.02	0.02	0.11	0.01	0.24	0.28	0.30	0.31
TAL1	0.02	0.02	0.11	0.01	0.24	0.28	0.30	0.31
TKLb	-0.04	-0.05	0.04	-0.07	0.17	0.20	0.22	0.22
DAR	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	2.16	1.90
GPP	0.00	0.00	0.00	0.00	0.00	0.00	2.16	1.90
PDC	1.03	1.26	0.84	1.49	0.38	2.25	4.29	6.27
ADH1	0.00	0.00	0.00	-0.00	0.27	2.02	3.89	6.12
ALD6	1.03	1.26	0.84	1.49	0.00	0.00	0.00	0.00
ALD2	0.00	0.00	0.00	-0.00	0.12	0.23	0.40	0.15
ICL1	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04
MLS1	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04
ATPX	1.00	1.00	1.00	1.00	1.00	1.60	1.00	1.00
PDH	2.25	2.67	3.13	2.95	3.03	3.35	3.87	3.75
ACS	-0.00	-0.00	-0.00	-0.00	-0.00	0.23	0.00	-0.00
ADK1_1	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00
PCK	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
PYC	0.35	0.42	0.47	0.47	0.44	0.52	0.56	0.58
CIT	1.74	2.06	2.44	2.26	2.39	2.81	3.05	2.91
ACO	1.74	2.06	2.44	2.26	2.39	2.81	3.05	2.91
IDH	1.53	1.81	2.16	1.98	2.13	2.50	2.72	2.56
IDPH	0.18	0.22	0.25	0.25	0.23	0.28	0.29	0.30
KGD1	1.69	2.00	2.37	2.20	2.33	2.74	2.97	2.82
LSC2	1.69	2.00	2.37	2.20	2.33	2.74	2.97	2.82
SDH12	1.72	2.03	2.40	2.23	2.36	2.78	3.01	2.86
FRDS2	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00	-0.00
FUM1	1.72	2.03	2.40	2.23	2.36	2.78	3.01	2.86
MDH1	1.74	2.06	2.44	2.26	2.39	2.81	3.05	2.91
NDI1	7.48	8.85	10.45	9.75	10.20	11.79	13.03	12.47
NDE2	4.35	5.21	5.40	5.88	4.59	5.40	4.21	3.91
SDH34	1.72	2.03	2.40	2.23	2.36	2.78	3.01	2.86
